1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
928	-0.222318	-0.222318	-0.393130	35.257961	0.071714	2.937746	2.680270	0.146310	3.4	3.2	12.2
929	-0.206684	-0.206684	-0.368484	34.352841	0.072887	2.031040	1.076249	0.092490	3.1	1.6	10.8
930	-0.240238	-0.240238	-0.407363	35.352407	0.071594	3.422715	2.463578	0.134671	21.9	1.8	31.5
931	-0.226307	-0.226307	-0.395908	35.005061	0.072038	2.037124	3.029176	0.081631	2.7	1.5	12.2
932	-0.230898	-0.230898	-0.401762	35.952232	0.070840	1.949234	2.762004	0.134540	3.1	1.6	12.1
933	-0.207687	-0.207687	-0.361941	35.378282	0.071561	2.249249	2.417828	0.095359	7.2	1.7	16.9
934	-0.229278	-0.229278	-0.398813	36.378282	0.070314	1.385074	2.171959	0.085312	3.1	2.1	13.1
935	-0.224915	-0.224915	-0.393927	35.892136	0.070915	2.716667	2.078252	0.100076	6.7	12.0	35.3
936	-0.215148	-0.215148	-0.376309	36.892104	0.069690	2.932450	2.173262	0.132595	2.9	1.8	10.8
937	-0.226047	-0.226047	-0.400665	35.986984	0.070797	2.511091	2.480104	0.120855	3.5	2.6	12.3
938	-0.228902	-0.228902	-0.391281	36.985257	0.069578	3.019877	1.776899	0.148265	5.0	1.9	12.7
939	-0.230261	-0.230261	-0.395986	37.932793	0.068459	3.445560	1.474438	0.166998	12.3	2.4	22.9
940	-0.230096	-0.230096	-0.371233	37.027673	0.069527	3.939052	2.648245	0.161671	12.5	1.5	20.2
941	-0.209384	-0.209384	-0.380905	36.122553	0.070629	2.382931	2.830328	0.135387	3.7	2.0	14.0
942	-0.219584	-0.219584	-0.360532	35.217432	0.071766	3.474907	3.118381	0.153099	4.0	2.3	11.7
943	-0.207506	-0.207506	-0.374786	36.216984	0.070512	2.692981	1.415171	0.110497	3.3	2.3	13.1
944	-0.221572	-0.221572	-0.354113	35.312201	0.071645	3.145086	2.795947	0.130900	3.8	13.2	26.3
945	-0.199155	-0.199155	-0.383825	34.407146	0.072815	1.732517	2.838716	0.066513	3.5	1.8	14.8
946	-0.219071	-0.219071	-0.388270	35.384654	0.071553	4.168281	3.261278	0.171162	15.8	2.2	26.2
947	-0.223884	-0.223884	-0.372743	35.277175	0.071690	3.037297	1.972040	0.137406	3.8	2.0	12.2
948	-0.223365	-0.223365	-0.384936	34.372055	0.072862	2.685562	1.654123	0.119221	2.8	1.4	9.6
949	-0.218670	-0.218670	-0.399313	35.372055	0.071569	2.096367	1.407614	0.102439	2.8	1.8	10.2
950	-0.224403	-0.224403	-0.376921	36.370748	0.070323	2.065394	3.004976	0.120597	3.1	13.5	31.9
951	-0.213331	-0.213331	-0.395573	35.550316	0.071343	3.318958	2.242018	0.149897	3.1	1.9	10.4
952	-0.215152	-0.215152	-0.371415	36.550231	0.070104	2.838732	1.109564	0.119310	3.4	2.1	11.6
953	-0.212502	-0.212502	-0.352136	37.548864	0.068908	1.892700	1.547194	0.077462	3.0	1.5	12.2
954	-0.225228	-0.225228	-0.384104	36.643744	0.069990	3.437100	2.492372	0.154223	3.4	10.8	20.2
955	-0.226337	-0.226337	-0.358464	36.313255	0.070394	2.750840	1.900343	0.112940	3.3	2.1	13.0
956	-0.220222	-0.220222	-0.393708	35.408135	0.071523	2.694751	1.299791	0.128972	3.2	2.2	20.2
957	-0.219082	-0.219082	-0.382270	36.408135	0.070277	3.624099	2.208684	0.183509	3.4	4.2	17.9
